AuthorName,aPublication,coAuthor,yearsInField,venueImpact,h-Index,i10-Index,aRefs,TotalCitation,CitationsPerYear
B. Ravi Kishore,1,4,1,12,1,0,0,2,2
B. Roe Hemenway,1.333333333,7.333333333,16,40,4,3,0.666666667,105,6.5625
B. S. Chauhan,1,2,1,12,1,0,0,4,4
B. S. Panda,1.5,2.583333333,15,35.58333333,5,2,2.25,83,5.533333333
B. S. Prasanna,1,5,1,12,0,0,0,0,0
B. S. Rao,1,2,1,12,0,0,0,0,0
B. S. Sheshadri Chakravarthy,1,2,1,40,1,1,2,10,10
B. S. Ting,1,2.333333333,4,29,2,1,0,81,20.25
B. Saha,1,8,9,14.5,1,0,0,6,0.666666667
B. Sandeep Kumar,0,2,1,0,0,0,0,0,0
B. Sathish Babu,2,4,2,44.5,2,0,1,9,4.5
B. Senapati,1,2,1,12,1,0,0,6,6
B. Shanker,0,7,1,0,0,0,2,0,0
B. Sharat Chandra Varma,0,2,1,0,0,0,0,0,0
B. Shastry,1,3,1,32,1,0,0,3,3
B. Sorensen,1,4,1,34,1,0,0,2,2
B. Stanisic,1,2,1,32,1,0,2,9,9
B. Straka,1.25,3.25,12,33.75,2,0,2.25,15,1.25
B. Sur,1,12,11,19,2,0,0.2,12,1.090909091
B. Suresh,1,6.333333333,6,16.33333333,1,0,0.333333333,1,0.166666667
B. Svensson,1,1,1,38,1,0,0,1,1
B. T. David,1,1,19,16.75,2,2,0,60,3.157894737
B. T. H. T. Baharuddin,1,3,1,8,0,0,0,0,0
B. T. Kornblum,1,1,1,37,1,0,0,1,1
B. Thomas,3.666666667,16.11111111,41,67,15,20,12.55555556,900,21.95121951
B. Traw,1,4,1,32,1,0,0,2,2
B. Ujfalussy,1,8,3,37.5,0,0,0,0,0
B. V. K. Vijaya Kumar,4.210526316,11.52631579,27,161.2105263,20,27,0.631578947,1434,53.11111111
B. V. N. Silpa,1,14,1,27,1,0,19,9,9
B. Venkataramani,1.25,10.75,12,23.25,3,2,3,50,4.166666667
B. Vootukuru,1,2,1,12,0,0,0,0,0
B. W. Davies,1,2.5,15,29,0,0,0,0,0
B\xc3\xa1lint Jo\xc3\xb3,0,21,1,0,0,0,0,0,0
B\xc3\xa4rbel Mertsching,2.666666667,5.714285714,22,46.28571429,10,10,3,377,17.13636364
B\xc3\xa9atrice Fu,1,0,1,12,0,0,0,0,0
B\xc3\xa9atrice Paillassa,1.5,5.5,12,30.5,5,0,0.5,42,3.5
B\xc3\xa9chir el Ayeb,1.8,3.933333333,19,42.26666667,8,8,2.6,159,8.368421053
B\xc3\xa9la Feh\xc3\xa9r,1.5,2.75,16,23.375,7,6,0,335,20.9375
B\xc3\xa9n\xc3\xa9dicte Kenmei,1,1.666666667,4,15.66666667,2,0,0,11,2.75
B\xc3\xb6rje Karlsson,1,3,14,11.33333333,2,0,2.666666667,5,0.357142857
B\xc3\xbclent Abali,2.166666667,8.916666667,16,64.5,18,19,10.75,1277,79.8125
Babak Behzad,0,9,1,0,0,0,0,0,0
Babak Falsafi,5.133333333,25.73333333,16,164,37,61,50.4,4795,299.6875
Babak Hejazialhosseini,0,15,1,0,0,0,5,0,0
Babak Hidaji,0,5,1,0,0,0,0,0,0
Babak Sadeghian,2.333333333,7.333333333,4,37.33333333,3,0,0,16,4
Babita R. Jose,3.5,12.5,2,60,3,0,0,16,8
Babu Turumella,1,4.5,14,43,2,0,0,8,0.571428571
Bach Khoa Huynh,1,14,1,16,1,1,14,27,27
Bachar El Hassan,1,6.5,14,17.5,3,1,0.25,51,3.642857143
Badie A. Taha,1,1,1,29,1,0,0,1,1
Badr Omrane,0,21,1,0,0,0,0,0,0
Badreddine Rejeb,1,2,1,14,0,0,0,0,0
Badrinarayanan Ravi,0,3,1,0,0,0,0,0,0
Bae Sung Kwon,1,10,1,25,0,0,0,0,0
BaekGyu Kim,0,40,1,0,0,0,0,0,0
Bageshri Karkare,1,1.666666667,3,56.66666667,2,2,8.333333333,25,8.333333333
Bahar Jalali Farahani,1,1.666666667,4,17.66666667,2,0,0,10,2.5
Bahman Javadi,2.5,15.66666667,6,45.33333333,5,3,9.5,76,12.66666667
Bahman Kheradmand Boroujeni,1,8,1,5,0,0,2,0,0
Bahman Zafarifar,1.5,4,2,19,1,0,0,1,0.5
Bahram Parvin,3.266666667,24.6,22,123.4,15,22,1.8,614,27.90909091
BaiJie Kuang,1,2,2,27.5,1,0,0,1,0.5
Baidya Nath Ray,1.666666667,4,4,24,1,1,1,23,5.75
Baiko Sai,0,34,1,0,0,0,0,0,0
Bailey Miller,0,11,1,0,0,0,15,0,0
Baiyi Song,1.5,3.5,4,13.5,5,4,7,162,40.5
Bakhtiar Affendi Rosdi,2,3.5,2,30.5,2,0,2,6,3
Baki Koyuncu,1.333333333,1.333333333,3,7.666666667,0,0,0,0,0
Baktash Boghrati,0,3,1,0,0,0,0,0,0
Balaji Gopalsamy,1.5,68,4,39.5,3,2,3.5,451,112.75
Balaji Janakiraman,1,4,1,12,1,0,0,1,1
Balaji Kommineni,1.5,4,2,21,2,0,0,10,5
Balaji Palanisamy,4,27,1,57,2,0,2,11,11
Balaji Raman,1,2.8,8,23.6,3,0,7,28,3.5
Balaji Srinivasan,1.5,9,9,48,1,1,0.5,56,6.222222222
Balaji Subramaniam,1,33,1,38,1,1,0,12,12
Balaji Swaminathan,0,3,1,0,0,0,0,0,0
Balaji Vaidyanathan,3,15,2,34.5,3,2,3,72,36
Balakrishna Kumthekar,1,2,4,28,3,3,5.333333333,41,10.25
Balakrishna R. Iyer,2.954545455,7.454545455,24,105.3636364,23,38,17.5,2992,124.6666667
Balakrishnan Dasarathy,1.714285714,6.857142857,16,31.42857143,8,7,1,131,8.1875
Balakrishnan Iyer,1.2,1.6,8,31.6,4,2,6.8,74,9.25
Balakrishnan Krishnamurthy,2,1.888888889,12,52.11111111,11,11,1,2358,196.5
Balal Ahmad,3,7.666666667,3,40,4,1,0,63,21
Balaram Sinharoy,2.111111111,10.55555556,14,39.77777778,9,8,4.333333333,1527,109.0714286
Balaraman Ravindran,2.142857143,10,11,71.28571429,8,7,4.428571429,265,24.09090909
Balasubramaniam Shanker,1,2,1,37,1,1,5,29,29
Balasubramanian Seshasayee,1.8,8.4,5,33.4,5,5,5.6,157,31.4
Balasubramanian Sethuraman,2.25,3.25,4,42,4,2,8.25,111,27.75
Balasubramanian Venkataramani,1,1.5,2,12,0,0,0,0,0
Balazs Sallay,1,6,1,25,1,0,2,1,1
Baldomir Zajc,1.333333333,3,12,34.66666667,4,2,3.333333333,87,7.25
Balint Joo,1,12,5,61.33333333,2,2,0.666666667,69,13.8
Balint Szente,1,3,1,38,1,0,0,7,7
Balkaran S. Gill,1.75,5,4,40.5,5,5,4.25,197,49.25
Balkrishna Ramkumar,3.1,5.6,10,93.3,12,12,1.6,506,50.6
Balpreet Singh,1,6,1,34,1,0,16,4,4
Bandana Bhattarai,0,5,1,0,0,0,0,0,0
Bandana Majumdar,1,10.25,15,14.75,3,2,0,35,2.333333333
Bang Liu,1,35,1,25,1,0,6,9,9
Banit Agrawal,3.6,13.6,6,86.6,9,9,45.2,347,57.83333333
Bank Liu,1,4,1,25,0,0,2,0,0
Bao Le,1,9.5,3,16.5,1,0,0,1,0.333333333
Bao Liu,3.25,10.5,8,66.875,11,13,17.5,320,40
Bao-Chyn Liu,2,4,1,56,1,1,10,51,51
Bao-Yin Zhang,1.5,3.75,5,30.25,3,1,0,30,6
Bao-Yu Song,1,4,4,21.5,1,1,0.5,88,22
Baohua Wang,2.5,8.333333333,6,56.33333333,6,6,3.166666667,174,29
Baojun Qiao,5,19,1,61,4,1,15,38,38
Baoliang Zhang,1,5.5,2,25.5,1,1,0,11,5.5
Baolin Shao,0,2,1,0,0,0,14,0,0
Baolin Yang,1.2,2.8,9,37,4,2,3.2,37,4.111111111
Baosheng Wang,3.5,18,6,76.5,6,6,5.333333333,166,27.66666667
Baoxian Zhao,1,7,2,14,2,2,27,30,15
Baoxin Li,5,14.55555556,9,158.1111111,15,16,5.444444444,805,89.44444444
Baoyong Chi,2.6,22,6,65.6,5,2,0,106,17.66666667
Bapi Vinnakota,0,10,1,0,0,0,0,0,0
Bapiraju Vinnakota,3.2,3.933333333,15,75.53333333,16,23,5.533333333,752,50.13333333
Baquer Mazhari,1,1.2,11,12,2,0,0,9,0.818181818
Barak A. Pearlmutter,2.222222222,4.333333333,23,75,17,25,3,2975,129.3478261
Barbara A. Randall,1,4,1,14,0,0,0,0,0
Barbara B. Simons,1.25,1.5,25,40,6,5,3.625,348,13.92
Barbara Cerato,2,5.5,2,90.5,4,1,0,37,18.5
Barbara Chappel,1,6,1,32,0,0,0,0,0
Barbara G. Ryder,3.68,7.24,35,92.4,38,70,40.84,4881,139.4571429
Barbara J. Agule,1,2.5,2,32,1,0,0,8,4
Barbara Jobstmann,2.75,28,4,98.25,10,10,25.75,474,118.5
Barbara K. Pasquale,1.5,1.5,2,45.5,2,2,5,124,62
Barbara Kempkes,0,61,1,0,0,0,0,0,0
Barbara Kreaseck,1.8,5.4,7,33.2,7,5,6.6,199,28.42857143
Barbara Liskov,3.111111111,5.944444444,38,91.91666667,62,93,16.86111111,16243,427.4473684
Barbara M. Chapman,4.777777778,18.44444444,19,78.22222222,18,34,5.277777778,2443,128.5789474
Barbara Mihalas,1,6,1,37,1,1,0,10,10
Barbara Minsker,1,9,3,30.5,1,0,0,8,2.666666667
Barbara P. Aichinger,1,0,1,50,1,0,0,9,9
Barbara Petit,0,6,1,0,0,0,0,0,0
Barbara Pfarr,2.666666667,16.33333333,3,71.33333333,3,0,0,22,7.333333333
Barbara Shelly,1,3.5,8,31,1,1,0,10,1.25
Barbara Tracy,1,11,1,37,1,0,0,1,1
Bard Bloom,1.8125,3.875,22,51.0625,16,21,6.375,1984,90.18181818
Bard Tokerud,1,2,1,29,1,0,0,1,1
Bardia Bozorgzadeh,0,1,1,0,0,0,0,0,0
Bardo Lang,1,5,1,32,1,0,7,7,7
Baris Aksanli,0,21,1,0,0,0,0,0,0
Baris Aktemur,2,8.5,2,32.5,3,1,8.5,25,12.5
Baris Arslan,2,3.666666667,3,39.33333333,4,3,7,90,30
Baris Taskin,1.2,11.6,7,27.2,6,5,6,102,14.57142857
Barna L. Bihari,0,15,1,0,0,0,0,0,0
Barrie Hayes-Gill,2,8.5,5,29.5,3,0,3,22,4.4
Barry Bond,0,13,1,0,0,0,0,0,0
Barry C. Goldstein,1.2,2,15,32.4,3,1,0.6,32,2.133333333
Barry C. Rosales,1,1,1,32,0,0,0,0,0
Barry Clark,1,1,1,32,1,0,0,9,9
Barry Culpepper,1,7.5,4,9,2,0,0,6,1.5
Barry D. Heller,1,1,1,32,0,0,0,0,0
Barry F. Smith,1.714285714,5.428571429,12,38.85714286,8,5,2.285714286,354,29.5
Barry G. Becker,1.8,2.2,9,109,8,8,12.2,462,51.33333333
Barry G. Douglass,2,1,4,57,2,0,2,9,2.25
Barry Hayes,1.571428571,1.571428571,19,35,8,8,4.142857143,433,22.78947368
Barry Jackson,1,0.333333333,22,22,1,0,0,7,0.318181818
Barry John Muldrey,0,3,1,0,0,0,0,0,0
Barry K. Britton,1,5.5,9,26,0,0,0,0,0
Barry K. Gilbert,1.25,3.75,31,30.375,4,3,0.125,120,3.870967742
Barry K. Rosen,1.92,4.08,29,58.08,28,39,4.72,5313,183.2068966
Barry Koren,1,2.5,11,22.83333333,4,1,1,55,5
Barry Lawson,2.75,7,4,126.75,7,6,7.5,144,36
Barry Lee,2,3.333333333,4,45.33333333,4,4,0,74,18.5
Barry Linnert,2.2,7.4,5,32.2,8,7,2.4,179,35.8
Barry M. Pangre,1,0,1,32,0,0,0,0,0
Barry M. Pangrle,1.625,4,25,44.875,6,6,4.375,283,11.32
Barry P. Mulcahy,1,7.333333333,3,16.66666667,2,1,0,27,9
Barry R. Borgerson,1.25,4.75,9,35,1,1,0,53,5.888888889
Barry Rountree,1.8,14.6,5,41.2,5,5,27.2,221,44.2
Barry S. Fagin,1.923076923,2.076923077,20,49,13,16,4.692307692,515,25.75
Barry S. Wagner,1,1,1,32,0,0,0,0,0
Barry Shackleford,1.4,5.8,6,31.2,5,5,7.4,214,35.66666667
Barry Smith,4.583333333,24.83333333,14,75.33333333,26,42,4.333333333,2447,174.7857143
Barry W. Boehm,5.818181818,15.39393939,40,156.2424242,50,111,10.63636364,28729,718.225
Barry W. Johnson,1.6,5.1,17,37.4,10,10,2.4,452,26.58823529
Barry Whalen,1,0,1,32,0,0,0,0,0
Bart D. Theelen,2.833333333,15.16666667,7,49,13,13,9.5,488,69.71428571
Bart De Smedt,1.5,4.5,4,32,3,3,1,141,35.25
Bart Durinck,1.2,5.2,5,52.4,5,2,5,97,19.4
Bart G. van Bloemen Waanders,1,5.4,5,23.4,3,1,3,43,8.6
Bart Goeman,1,2,2,25.5,2,1,0,103,51.5
Bart Jacobs,5.421052632,13.26315789,20,117.5789474,39,81,15.94736842,4500,225
Bart Kienhuis,3,10.6,12,63.2,12,15,8.2,983,81.91666667
Bart Mesman,2.416666667,13.08333333,12,53.41666667,12,16,11.75,472,39.33333333
Bart Nauwelaers,1.714285714,12.71428571,8,33,5,2,3,54,6.75
Bart Preneel,14.65,47.05,20,329.25,51,181,25.8,9097,454.85
Bart Samwel,1,4,7,19.2,3,2,4.6,40,5.714285714
Bart Thielges,1,4,1,32,1,1,2,21,21
Bart Vanhoof,1.4,5.8,10,38.8,6,4,2.6,134,13.4
Bart Vanthournout,1,33.33333333,11,32.66666667,3,1,8,99,9
Bart Vashaw,3,17,1,59,3,3,0,52,52
Bart Vermeulen,3,9.666666667,10,54,13,16,6.444444444,563,56.3
Bart Volckaerts,1,16,1,22,1,1,0,16,16
Bart de Loore,1,0,1,34,0,0,0,0,0
Bartek Klin,2.333333333,5,8,44.16666667,11,12,12.33333333,226,28.25
Bartlett S. H. (Scott) Michel,1,0,1,37,0,0,0,0,0
Bartolom\xc3\xa9 Rubio,2.083333333,9.916666667,14,39.66666667,7,5,4.25,160,11.42857143
Bartolomeo Montrucchio,1.777777778,7.333333333,11,61.22222222,5,4,1.333333333,125,11.36363636
Bartomeu Alorda,1.428571429,7.285714286,8,20,5,2,2.571428571,65,8.125
Barton P. Miller,4.538461538,9.846153846,28,115.9615385,41,77,13.23076923,6549,233.8928571
Barton Sano,1.166666667,4.666666667,11,47.33333333,5,4,9.833333333,614,55.81818182
Bartosz Bogdanski,0,12,1,0,0,0,0,0,0
Baruch Awerbuch,6.923076923,14.80769231,26,243,61,132,26.30769231,9742,374.6923077
Basab Datta,1.5,8,2,21,1,0,15.5,9,4.5
Basabi Bhaumik,2,3.555555556,16,31.44444444,4,1,0,36,2.25
Basant Dwivedi,1,4,1,32,1,0,5,2,2
Basant K. Mohanty,2.5,7.5,3,28.5,2,0,0,11,3.666666667
Basant Kumar Dwivedi,1.5,4.25,6,28.5,5,3,3.75,77,12.83333333
Basant R. Chawla,1,1.5,24,32,2,0,0,11,0.458333333
Basant Rajan,1.8,3.4,15,39.8,6,1,0.8,62,4.133333333
Basavaraj Talwar,0,2,1,0,0,0,0,0,0
Basel Halak,3,15,1,71,3,0,16,10,10
Basem A. Nayfeh,1.5,3.5,4,59.25,6,6,5.75,1423,355.75
Bashir M. Al-Hashimi,9.090909091,32.72727273,11,222.7272727,26,53,36.72727273,2119,192.6363636
Basil AsSadhan,1,9,1,38,1,0,3,3,3
Basil Hosmer,0,2,1,0,0,0,0,0,0
Basile Clout,0,1,1,0,0,0,0,0,0
Basile Schaeli,2.25,7,4,66,4,2,9.25,182,45.5
Basilio B. Fraguela,2.7,14.9,14,52.3,14,14,12.1,406,29
Basilis Kotsos,0,4,1,0,0,0,0,0,0
Basim M. Kadhim,1.5,0.5,2,30,1,1,0,18,9
Basit R. Sheikh,0,5,1,0,0,0,0,0,0
Bassam A. Alqaralleh,1.25,4.75,4,21.75,3,1,0,28,7
Bassam Jamil Mohd,1.5,5,6,15.5,2,0,0,8,1.333333333
Bassam Shaer,1.625,3.375,11,25.375,3,0,0.25,24,2.181818182
Bassam Tabbara,1.5,5.5,7,47.75,5,3,6.5,108,15.42857143
Bassel R. Arafeh,1.5,2.5,21,22.75,4,0,8.375,27,1.285714286
Bassel Soudan,1.5,2.833333333,20,27.16666667,2,0,1,18,0.9
Bastiaan Aarts,0,14,1,0,0,0,12,0,0
Bastiaan Sch\xc3\xb6nhage,1.666666667,4.5,7,24.33333333,6,4,1.666666667,184,26.28571429
Bastiaan Stougie,1,3.333333333,3,25.66666667,3,2,6,107,35.66666667
Bastian Degener,1.5,43.5,5,39.5,2,1,3.5,19,3.8
Bastian Katz,1.5,22.5,2,13.5,2,1,11,16,8
Bastian Molkenthin,0,4,1,0,0,0,0,0,0
Bastian Ristau,1.333333333,3.666666667,3,25.33333333,3,2,7.333333333,31,10.33333333
Bastien Chopard,4,13.53846154,14,76.61538462,15,18,1.692307692,621,44.35714286
Batsayan Das,1,2,1,25,1,0,7,5,5
Bau-Cheng Lee,0,2,1,0,0,0,0,0,0
Baudouin Le Charlier,2.947368421,4.842105263,35,64.84210526,23,28,4.684210526,1524,43.54285714
Beate Baum,1,0.5,2,20.5,0,0,0,0,0
Beatrix Weisgerber,1,1.5,5,8.5,1,0,0,8,1.6
Beatriz Infante,1,4,1,32,1,1,0,17,17
Beau Vrolyk,1,0,1,41,0,0,0,0,0
Beayna Grigorian,0,11,1,0,0,0,0,0,0
Becky Bace,1,3,1,37,0,0,0,0,0
Becky Verastegui,1,0,1,37,0,0,0,0,0
Bedabrata Pain,1.2,6.4,7,23.6,3,3,0,80,11.42857143
Bedrich J. Hosticka,1.928571429,6.857142857,18,53.42857143,11,11,0.857142857,581,32.27777778
Bedros Hanounik,1,1,1,38,1,0,0,9,9
Behdis Eslamnour,1,5,3,38,1,0,1.5,2,0.666666667
Behnaam Aazhang,3.1,7.45,21,128.95,31,44,0.55,12076,575.047619
Behnam Amelifard,3.5,8,4,80.25,8,6,20.5,153,38.25
Behnam Ghavami,3,26,2,30.5,3,0,15.5,18,9
Behnam Robatmili,2,13.25,6,43.5,4,4,19,65,10.83333333
Behram Khan,2,33,1,42,1,0,2,10,10
Behrooz Parhami,3.333333333,3.633333333,37,78.53333333,18,38,5.466666667,2335,63.10810811
Behrooz Shirazi,3.571428571,15.04761905,24,85.19047619,20,33,5.619047619,1458,60.75
Behrooz Zahiri,1,4,2,24,1,0,0,1,0.5
Behtash Behin-Aein,0,5,1,0,0,0,3,0,0
Behzad Akbarpour,1.571428571,4.714285714,7,26.28571429,6,4,4.142857143,81,11.57142857
Behzad Ebrahimi,1,10.5,2,18,0,0,0,0,0
Behzad Mohebbi,1,4,1,16,1,1,2,14,14
Behzad Razavi,1.25,3,11,32.75,0,0,0,0,0
Bei Hua,3,22.5,4,44.75,6,4,24.75,95,23.75
Bei Yin,1,7,1,14,1,1,0,59,59
Bei Yu,2.666666667,15.5,11,92.33333333,11,11,19.5,623,56.63636364
Beibei Ren,1,17.5,5,32.5,2,1,2.5,33,6.6
Beibei Wu,1.5,10,2,77,2,0,0,16,8
Beign\xc3\xa9 Edith,0,3,1,0,0,0,0,0,0
Beihua Ying,0,8,1,0,0,0,4,0,0
Beixing Deng,2.833333333,24.16666667,7,51,5,3,3.666666667,85,12.14285714
Beiye Liu,0,12,1,0,0,0,0,0,0
Bel\xc3\xa9n Palop,1.888888889,9.333333333,9,81.11111111,8,7,4.888888889,266,29.55555556
Belinda Juran,1,2,1,32,0,0,0,0,0
Bella Bose,2.703703704,4.259259259,30,96.88888889,21,41,3.222222222,1489,49.63333333
Bella Dubrov,1,7,2,40.5,2,1,9,29,14.5
Belli Kuttanna,1,4,3,21.5,1,0,0,7,2.333333333
Belliappa Kuttanna,0,5,1,0,0,0,0,0,0
Belur V. Dasarathy,3.0625,0.75,33,57.6875,10,11,0,665,20.15151515
Ben Ahrens,0,5,1,0,0,0,0,0,0
Ben Bennetts,1.363636364,3.181818182,37,27.18181818,6,5,1.363636364,118,3.189189189
Ben Biron,1,8,1,18,1,1,17,16,16
Ben Breech,1.333333333,3,9,30.33333333,5,4,1,102,11.33333333
Ben Buchli,0,8,1,0,0,0,0,0,0
Ben Busze,0,44,1,0,0,0,0,0,0
Ben Chen,1,4.75,15,18.5,3,3,4,92,6.133333333
Ben Clifford,2.333333333,70.66666667,5,86.66666667,6,6,1.666666667,665,133
Ben Cope,1.25,3.75,4,22.75,3,1,0.5,62,15.5
Ben Cordes,1.5,5,2,36,1,0,0,1,0.5
Ben E. Britt,1,6,1,32,0,0,0,0,0
Ben Greenwald,1,11.66666667,4,29,3,3,11.66666667,1106,276.5
Ben H. H. Juurlink,3.785714286,14.5,16,73.71428571,16,23,18.21428571,750,46.875
Ben Hardekopf,1.5,11.5,8,32.5,2,2,24.5,102,12.75
Ben Heggy,1,1,1,37,1,1,4,15,15
Ben Hertzberg,2,11.5,3,60,4,4,31,1187,395.6666667
Ben Huey,1,0.5,2,29.5,1,1,0,22,11
Ben I. Hounsell,1.333333333,1.666666667,5,37,4,4,0,61,12.2
Ben J. Nathanson,1.75,60.75,12,54.5,5,5,5,841,70.08333333
Ben Jaiyen,0,3,1,0,0,0,0,0,0
Ben Kaczer,1.5,16.66666667,7,31.16666667,4,4,0.5,125,17.85714286
Ben Klass,1,6,1,32,0,0,2,0,0
Ben Lee,2.157894737,10.94736842,20,37.78947368,13,17,5.631578947,674,33.7
Ben Liblit,2.666666667,12.22222222,11,72.55555556,18,19,31.11111111,2459,223.5454545
Ben Lickly,1,20,1,12,1,1,29,86,86
Ben Logan,1,1,1,38,0,0,0,0,0
Ben McClelland,0,7,1,0,0,0,22,0,0
Ben Paechter,2.846153846,12.07692308,15,62.23076923,16,18,2.846153846,872,58.13333333
Ben R. Hodges,1,7,1,43,1,0,0,6,6
Ben Reschke,2,11,1,59,2,0,10,13,13
Ben Sander,0,9,1,0,0,0,2,0,0
Ben Shani,1,11,1,32,1,1,0,25,25
Ben Song,1.25,3.75,10,35.25,4,4,2.5,240,24
Ben Titzer,1.75,6.5,5,48,6,6,25.25,654,130.8
Ben Travaglione,1,0,1,32,0,0,1,0,0
Ben Verghese,1.75,7,7,62,7,7,14.25,1139,162.7142857
Ben Wegbreit,2.769230769,2.230769231,39,103.3076923,20,27,4.538461538,3535,90.64102564
Ben Wiedermann,1.333333333,16,3,49.66666667,4,4,27,653,217.6666667
Ben Wun,1,4,4,27.5,2,1,3.5,40,10
Ben-Chung Cheng,2,5.666666667,3,72,4,4,17,326,108.6666667
Benaoumeur Senouci,1.666666667,7.333333333,3,27,4,0,1.333333333,25,8.333333333
Benedict R. Gaster,1.5,15.5,2,15,3,0,9,20,10
Benedikt Noethen,0,2,1,0,0,0,0,0,0
Benes L. Trus,1,5,8,25.5,2,2,0,162,20.25
Beng-Hong Lim,1.818181818,6,16,55.63636364,16,17,9.090909091,2696,168.5
Bengt Jonsson,4.380952381,9.666666667,24,95.9047619,35,58,14.28571429,4896,204
Bengt Magnhagen,1,2.5,3,32,2,1,0,16,5.333333333
Bengt Oelmann,2.2,7.2,6,53.2,4,1,0.6,39,6.5
Bengt Svantesson,1,4.666666667,7,17.33333333,3,1,0,37,5.285714286
Bengu Li,1.25,2.25,4,15.75,4,3,9.75,52,13
Beniamino Di Martino,4.933333333,23.66666667,15,76.53333333,10,14,2.533333333,399,26.6
Benjamin A. Allan,1.5,11,7,30.75,5,3,6.75,395,56.42857143
Benjamin A. Carreras,1.75,7.25,17,57.66666667,14,14,0.166666667,959,56.41176471
Benjamin A. Levine,1.25,3.25,5,20.5,3,3,0,201,40.2
Benjamin B. Chase,1,1,1,42,1,0,5,8,8
Benjamin Belzer,2.2,11.2,15,95.7,10,12,5.3,1103,73.53333333
Benjamin Bergen,1.333333333,4.666666667,6,24.16666667,6,5,1.833333333,149,24.83333333
Benjamin Betting,0,8,1,0,0,0,0,0,0
Benjamin Bishop,1.4,2.7,11,25.2,4,2,2.2,62,5.636363636
Benjamin C. Brodie,1,2,1,50,1,1,11,168,168
Benjamin C. Lee,2.6,16.8,7,88.6,9,9,24.4,658,94
Benjamin C. Pierce,5.368421053,10.15789474,20,127,51,78,27.68421053,12952,647.6
Benjamin Carri\xc3\xb3n Sch\xc3\xa4fer,1.25,6.25,8,25.25,4,1,1.5,30,3.75
Benjamin Chambers,1,4,1,17,0,0,0,0,0
Benjamin Chelf,1.666666667,8,3,56.66666667,5,5,18.66666667,1463,487.6666667
Benjamin Chiu,1,20,1,32,0,0,0,0,0
Benjamin Delaware,0,8,1,0,0,0,15,0,0
Benjamin Depardon,1,15.66666667,3,23.66666667,3,2,7.666666667,38,12.66666667
Benjamin Eckart,2,44,1,55,1,1,7,13,13
Benjamin G. Jackson,1.5,6.5,4,40,3,3,6.5,44,11
Benjamin G. Zorn,2.944444444,7.5,23,80.27777778,28,38,22.38888889,2450,106.5217391
Benjamin Gamsa,1.125,7,11,34.5,8,7,4.25,517,47
Benjamin Glas,2.5,26,3,74,4,1,2.5,44,14.66666667
Benjamin Gojman,1.5,7.5,2,17.5,2,2,1,41,20.5
Benjamin Goldberg,2.117647059,2.941176471,22,54.64705882,21,26,5.588235294,1164,52.90909091
Benjamin Gr\xc3\xa9goire,3.5,20,7,48,13,14,12.66666667,522,74.57142857
Benjamin Hindman,1,3,1,7,1,1,30,65,65
Benjamin Horowitz,1.4,4.2,5,33,6,6,6.2,913,182.6
Benjamin J. Blalock,1.5,11.25,14,28.5,2,1,0.25,61,4.357142857
Benjamin J. Welch,1,4,3,19.5,2,1,15.5,20,6.666666667
Benjamin Krill,1,32,1,17,1,1,0,29,29
Benjamin Kwek,0,5,1,0,0,0,0,0,0
Benjamin Lee,1,8.666666667,25,13.66666667,1,1,0,99,3.96
Benjamin Lipshitz,0,27,1,0,0,0,0,0,0
Benjamin Lipton,0,6,1,0,0,0,0,0,0
Benjamin Livshits,3,17.4,6,81,8,7,51.6,745,124.1666667
Benjamin M. West,1,4,1,38,1,1,0,21,21
Benjamin Menhorn,0,1,1,0,0,0,0,0,0
Benjamin Meyer,1,19,1,39,1,1,3,15,15
Benjamin N. Lee,3,7.333333333,3,75.66666667,5,4,6.333333333,96,32
Benjamin Nicolle,1.5,13,3,18,2,0,1,11,3.666666667
Benjamin Oechslein,0,8,1,0,0,0,9,0,0
Benjamin P. Berman,1,12.5,2,27.5,2,2,3.5,65,32.5
Benjamin P. Wood,0,15,1,0,0,0,0,0,0
Benjamin Qu\xc3\xa9tier,1.25,11,4,18,3,3,4.5,438,109.5
Benjamin R. Whaley,1,1,1,12,1,1,0,12,12
Benjamin Ransford,2,24,1,50,2,2,5,155,155
Benjamin Rose,0,16,1,0,0,0,35,0,0
Benjamin Rutt,2,14.25,5,48.5,4,1,0,37,7.4
Benjamin S. Lerner,1,6,2,26,2,2,10,41,20.5
Benjamin S. Prothro,0,16,1,0,0,0,0,0,0
Benjamin Sahelices,0,5,1,0,0,0,0,0,0
Benjamin Satzger,3.333333333,39,3,43.33333333,7,7,10,124,41.33333333
Benjamin Schrauwen,7.25,42.75,4,145,15,20,7.75,726,181.5
Benjamin Sheahan,1,4,1,32,0,0,0,0,0
Benjamin St\xc3\xb6cker,1,2,1,8,0,0,0,0,0
Benjamin Stefan Devlin,0,15,1,0,0,0,0,0,0
Benjamin T. Sterrett,0,5,1,0,0,0,0,0,0
Benjamin Temko,1,8.333333333,3,28.33333333,3,3,0.333333333,203,67.66666667
Benjamin Tsien,1,1,1,32,1,0,0,1,1
Benjamin Vitale,1,3,1,21,1,1,7,34,34
Benjamin Vogel,0,19,1,0,0,0,0,0,0
Benjamin W. Long,1.75,1.5,5,37,3,1,2.5,26,5.2
Benjamin W. Wah,5.774193548,10.22580645,32,169.2580645,31,93,9.612903226,4117,128.65625
